"","stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"149","Architecture Mitigation","Do you regularly evaluate the threats to your architecture?","NO ANSWER",0,NA,NA,0,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"150","Architecture Mitigation","Do you regularly update your reference architectures based on architecture assessment findings?","NO ANSWER",0,NA,NA,0,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"151","Control Verification","Do you test applications for the correct functioning of standard security controls?","Yes, most or all of them",1,0.5,NA,1.125,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"152","Control Verification","Do you consistently write and execute test scripts to verify the functionality of security requirements?","Yes, most or all of them",1,0.5,NA,1.125,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"153","Control Verification","Do you automatically test applications for security regressions?","NO ANSWER",0,0.125,NA,1.125,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"154","Misuse/Abuse Testing","Do you test applications using randomization or fuzzing techniques?","No",0,NA,NA,1.125,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"155","Misuse/Abuse Testing","Do you create abuse cases from functional requirements and use them to drive security tests?","No",0,NA,NA,1.125,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"156","Misuse/Abuse Testing","Do you perform denial of service and security stress testing?","Yes, some of the time",0.25,NA,"I know that there is measurement about how many TPS a node can take",1.125,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"157","Scalable Baseline","Do you scan applications with automated security testing tools?","Yes, most or all of them",1,1,NA,1.375,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"158","Scalable Baseline","Do you customize the automated security tools to your applications and technology stacks?","NO ANSWER",0,0.125,NA,1.375,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"159","Scalable Baseline","Do you integrate automated security testing into the build and deploy process?","Yes, some of it",0.25,0.25,NA,1.375,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"160","Deep Understanding","Do you manually review the security quality of selected high-risk components?","Yes, for most or all of the components",1,NA,NA,1.375,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"161","Deep Understanding","Do you perform penetration testing for your applications at regular intervals?","Yes, for some applications",0.25,NA,NA,1.375,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"162","Deep Understanding","Do you use the results of security testing to improve the development lifecycle?","Yes, but we improve it ad-hoc",0.25,NA,NA,1.375,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"163","Incident Detection","Do you analyze log data for security incidents periodically?","NO ANSWER",0,0,NA,0,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"164","Incident Detection","Do you follow a documented process for incident detection?","NO ANSWER",0,0,NA,0,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"165","Incident Detection","Do you review and update the incident detection process regularly?","NO ANSWER",0,0,NA,0,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"166","Incident Response","Do you respond to detected incidents?","NO ANSWER",0,NA,NA,0,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"167","Incident Response","Do you use a repeatable process for incident handling?","NO ANSWER",0,NA,NA,0,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"168","Incident Response","Do you have a dedicated incident response team available?","NO ANSWER",0,NA,NA,0,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"169","Configuration Hardening","Do you harden configurations for key components of your technology stacks?","NO ANSWER",0,0.5,NA,1,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"170","Configuration Hardening","Do you have hardening baselines for your components?","NO ANSWER",0,0,NA,1,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"171","Configuration Hardening","Do you monitor and enforce conformity with hardening baselines?","NO ANSWER",0,0.5,NA,1,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"172","Patching and Updating","Do you identify and patch vulnerable components?","Yes, for most or all of the components",1,NA,NA,1,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"173","Patching and Updating","Do you follow an established process for updating components of your technology stacks?","NO ANSWER",0,NA,NA,1,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"174","Patching and Updating","Do you regularly evaluate components and review patch level status?","Yes, for most or all of the components",1,NA,NA,1,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"175","Data Protection","Do you protect and handle information according to protection requirements for data stored and processed on each application?","Yes, for most or all of the applications",1,0.5,NA,0.5,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"176","Data Protection","Do you maintain a data catalog, including types, sensitivity levels, and processing and storage locations?","NO ANSWER",0,0,NA,0.5,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"177","Data Protection","Do you regularly review and update the data catalog and your data protection policies and procedures?","NO ANSWER",0,0,NA,0.5,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"178","System Decomissioning / Legacy Management","Do you identify and remove systems, applications, application dependencies, or services that are no longer used, have reached end of life, or are no longer actively developed or supported?","NO ANSWER",0,NA,NA,0.5,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"179","System Decomissioning / Legacy Management","Do you follow an established process for removing all associated resources, as part of decommissioning of unused systems, applications, application dependencies, or services?","NO ANSWER",0,NA,NA,0.5,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"180","System Decomissioning / Legacy Management","Do you regularly evaluate the lifecycle state and support status of every software asset and underlying infrastructure component, and estimate their end of life?","NO ANSWER",0,NA,NA,0.5,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"181","Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","Yes, it covers general risks",0.25,0.125,NA,0.625,"easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"182","Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","Yes, we review it annually",0.25,0.25,NA,0.625,"easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"183","Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","Yes, we review it at regular times",0.5,0.25,NA,0.625,"easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"184","Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","No",0,NA,NA,0.625,"difficult","unconfident","371f0b812ea4374079b1da90d5da7190","management",1
"185","Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","Yes, for some of the metrics",0.25,NA,NA,0.625,"difficult","unconfident","371f0b812ea4374079b1da90d5da7190","management",1
"186","Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","NO ANSWER",0,NA,"Not my area but is part of receiver of information",0.625,"difficult","unconfident","371f0b812ea4374079b1da90d5da7190","management",1
"187","Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","Yes, for most or all of the applications",1,0.5,NA,1.125,"easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"188","Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","Yes, most or all of the content",1,0.5,NA,1.125,"easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"189","Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","Yes, but reporting is ad-hoc",0.25,0.125,NA,1.125,"easy","confident","371f0b812ea4374079b1da90d5da7190","management",1
"190","Compliance Management","Do you have a complete picture of your external compliance obligations?","No",0,NA,"For some we have known but not all new contracts signed are known",1.125,"difficult","unconfident","371f0b812ea4374079b1da90d5da7190","management",1
"191","Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","No",0,NA,NA,1.125,"difficult","unconfident","371f0b812ea4374079b1da90d5da7190","management",1
"192","Compliance Management","Do you regularly report on adherence to external compliance obligations and use that information to guide efforts to close compliance gaps?","NO ANSWER",0,NA,NA,1.125,"difficult","unconfident","371f0b812ea4374079b1da90d5da7190","management",1
